model,perturbation_type,severity,accuracy,accuracy_drop,neg_accuracy,pos_accuracy
LR,clean,N/A,0.8062,0.0,0.7617,0.8491
LR,punct_removal,N/A,0.7936,0.0126,0.7407,0.8446
LR,spelling_errors,0.1,0.7936,0.0126,0.757,0.8288
LR,spelling_errors,0.3,0.789,0.0172,0.75,0.8266
LR,spelling_errors,0.5,0.7374,0.0688,0.6963,0.777
LR,word_deletion,0.1,0.7947,0.0115,0.7453,0.8423
LR,word_deletion,0.3,0.7936,0.0126,0.75,0.8356
LR,word_deletion,0.5,0.7431,0.0631,0.6822,0.8018
LR,word_order,0.1,0.8131,-0.0069,0.771,0.8536
LR,word_order,0.3,0.8142,-0.008,0.7757,0.8514
LR,word_order,0.5,0.8119,-0.0057,0.771,0.8514
NBOW,clean,N/A,0.7626,0.0,0.6846,0.8378
NBOW,punct_removal,N/A,0.7626,0.0,0.6963,0.8266
NBOW,spelling_errors,0.1,0.7615,0.0011,0.7126,0.8086
NBOW,spelling_errors,0.3,0.7248,0.0378,0.7056,0.7432
NBOW,spelling_errors,0.5,0.6606,0.1021,0.7056,0.6171
NBOW,word_deletion,0.1,0.758,0.0046,0.6776,0.8356
NBOW,word_deletion,0.3,0.7477,0.0149,0.6706,0.8221
NBOW,word_deletion,0.5,0.7144,0.0482,0.6215,0.8041
NBOW,word_order,0.1,0.7626,0.0,0.6846,0.8378
NBOW,word_order,0.3,0.7626,0.0,0.6846,0.8378
NBOW,word_order,0.5,0.7626,0.0,0.6846,0.8378
DistilBERT,clean,N/A,0.9106,0.0,0.8902,0.9302
DistilBERT,punct_removal,N/A,0.8842,0.0264,0.8621,0.9054
DistilBERT,spelling_errors,0.1,0.8842,0.0264,0.8879,0.8806
DistilBERT,spelling_errors,0.3,0.8096,0.1009,0.9019,0.7207
DistilBERT,spelling_errors,0.5,0.719,0.1915,0.9252,0.5203
DistilBERT,word_deletion,0.1,0.8876,0.0229,0.8575,0.9167
DistilBERT,word_deletion,0.3,0.8257,0.0849,0.7804,0.8694
DistilBERT,word_deletion,0.5,0.7787,0.1319,0.7103,0.8446
DistilBERT,word_order,0.1,0.8945,0.0161,0.8762,0.9122
DistilBERT,word_order,0.3,0.8727,0.0378,0.8621,0.8829
DistilBERT,word_order,0.5,0.8624,0.0482,0.8575,0.8671
